CASEID,cexabu,cexphys,cexsex,cex_070a,cex_070b,cex_070c,cex_080,mshsd,msper,msvic,agegr10,luc_rst,prv,region,sex
26231,3,2,1,2,2,1,5,994,994,994,6,1,"35",3,1
26232,1,1,1,6,6,6,1,994,994,994,3,1,"24",2,2
26233,1,1,1,6,6,6,1,994,994,994,6,1,"47",4,2
26234,8,8,8,6,6,6,8,994,994,994,2,1,"24",2,2
26235,3,2,1,2,2,1,1,994,994,994,3,1,"46",4,1
26236,3,2,1,2,2,1,1,994,994,994,2,2,"48",4,1
26237,1,1,1,6,6,6,1,994,994,994,2,1,"12",1,1
26238,1,1,1,6,6,6,1,994,994,994,1,2,"10",1,1
26239,3,2,1,2,2,1,1,994,994,994,5,1,"10",1,2
26240,3,2,1,2,2,1,1,994,994,994,4,1,"48",4,2
26241,1,1,1,6,6,6,1,994,994,994,1,1,"35",3,2
26242,1,1,1,6,6,6,1,994,994,994,4,2,"12",1,1
26243,3,2,1,2,2,1,1,994,994,994,4,1,"35",3,2
26244,1,1,1,6,6,6,1,994,994,994,6,2,"35",3,1
26245,1,1,1,6,6,6,1,994,609,609,3,1,"59",5,1
26246,3,2,1,2,2,1,2,994,994,994,4,1,"46",4,1
26247,1,1,1,6,6,6,1,994,994,994,3,1,"35",3,2
26248,1,1,1,6,6,6,3,994,994,994,2,1,"35",3,2
26249,1,1,1,6,6,6,4,994,994,994,4,1,"24",2,2
26250,1,1,1,6,6,6,1,994,994,994,7,1,"24",2,2
26251,1,1,1,6,6,6,1,994,994,994,5,1,"59",5,2
26252,1,1,1,6,6,6,1,994,994,994,6,1,"35",3,1
26253,8,8,8,6,6,6,8,994,994,994,3,1,"35",3,1
26254,3,2,1,2,2,1,1,994,994,994,3,2,"59",5,1
26255,2,2,2,2,2,1,1,994,994,994,2,1,"24",2,2
26256,1,1,1,6,6,6,1,994,994,994,6,2,"12",1,2
26257,1,1,1,6,6,6,1,994,994,994,3,1,"13",1,1
26258,1,1,1,6,6,6,1,994,994,994,3,1,"48",4,2
26259,1,1,1,6,6,6,1,994,994,994,6,1,"24",2,2
26260,1,1,1,6,6,6,1,994,994,994,5,1,"47",4,2
26261,3,2,1,2,2,1,1,994,994,994,1,1,"35",3,1
26262,1,1,1,6,6,6,1,994,994,994,1,1,"48",4,1
26263,1,1,1,6,6,6,1,994,994,994,2,1,"35",3,2
26264,1,1,1,6,6,6,1,994,994,994,5,1,"35",3,1
26265,3,2,1,2,2,1,1,995,995,995,5,1,"47",4,1
26266,1,1,1,6,6,6,1,994,994,994,2,2,"35",3,1
26267,1,1,1,6,6,6,1,994,994,994,4,1,"35",3,1
26268,7,7,1,6,6,6,1,994,994,994,3,2,"35",3,1
26269,1,1,1,6,6,6,1,994,994,994,7,2,"24",2,1
26270,3,2,1,2,2,1,1,994,994,994,5,1,"48",4,1
26271,3,2,1,2,2,1,2,994,994,994,3,1,"59",5,2
26272,3,2,1,2,2,1,2,405,994,405,5,1,"48",4,1
26273,1,1,1,6,6,6,1,994,994,994,6,2,"46",4,2
26274,3,2,1,2,2,1,1,994,994,994,5,1,"24",2,1
26275,1,1,1,6,6,6,1,994,994,994,1,1,"24",2,2
26276,1,1,1,6,6,6,1,994,610,610,4,3,"11",1,2
26277,1,1,1,6,6,6,1,994,994,994,7,1,"24",2,2
26278,1,1,1,6,6,6,1,994,994,994,6,1,"46",4,1
